National Health Expenditure (NHE) Amounts by Type of Expenditure and Source of Funds: Calendar Years 1960-2026 in PROJECTIONS format,,,,,,,,,,,
The projections are based on the 2016 version of the NHE released in December 2017.,,,,,,,,,,,
,,,,,,,,,,,
LEVELS in $Millions,,,,,,,,,,,
First projected year is 2017,,,,,,,,,,,
,,,,,,,,,,,
CATEGORY,Projections_Vintage,Historical_or_Projected_Data,YEAR,TOTAL,OUT_OF_POCKET,TOTAL_HEALTH_INSURANCE,PRIVATE_HEALTH_INSURANCE,MEDICARE,MEDICAID,OTHER_HEALTH_INSURANCE,OTHER_THIRD_PARTY
Health Consumption Expenditures,02/14/2018,Historical,Y1980,235475,58146,142333,69225,37387,26032,9689,34995
Health Consumption Expenditures,02/14/2018,Historical,Y1981,273418,65355,167730,81804,44769,30307,10849,40333
Health Consumption Expenditures,02/14/2018,Historical,Y1982,308038,72450,190651,94227,52351,32011,12063,44937
Health Consumption Expenditures,02/14/2018,Historical,Y1983,339453,78619,212741,105128,59559,35266,12789,48093
Health Consumption Expenditures,02/14/2018,Historical,Y1984,375119,86500,237405,119053,66207,38233,13912,51214
Health Consumption Expenditures,02/14/2018,Historical,Y1985,412836,95640,259273,131311,71829,40937,15196,57923
Health Consumption Expenditures,02/14/2018,Historical,Y1986,443712,103610,274699,136077,76829,45383,16409,65404
Health Consumption Expenditures,02/14/2018,Historical,Y1987,482287,109652,300035,149177,83081,50339,17438,72600
Health Consumption Expenditures,02/14/2018,Historical,Y1988,540513,120217,338282,175829,88965,55080,18408,82013
Health Consumption Expenditures,02/14/2018,Historical,Y1989,602254,126651,387271,204775,101137,61952,19407,88332
Health Consumption Expenditures,02/14/2018,Historical,Y1990,674070,137882,439113,233885,110182,73661,21385,97075
Health Consumption Expenditures,02/14/2018,Historical,Y1991,737681,140815,492308,255092,120617,93211,23389,104558
Health Consumption Expenditures,02/14/2018,Historical,Y1992,798746,143178,543122,274725,135996,108186,24215,112445
Health Consumption Expenditures,02/14/2018,Historical,Y1993,857725,144098,593278,295294,149965,122373,25645,120349
Health Consumption Expenditures,02/14/2018,Historical,Y1994,905667,142035,636746,308218,167670,134414,26444,126886
Health Consumption Expenditures,02/14/2018,Historical,Y1995,958171,144816,681480,325339,184393,144862,26885,131875
Health Consumption Expenditures,02/14/2018,Historical,Y1996,1009589,150354,722124,343686,198750,152170,27518,137112
Health Consumption Expenditures,02/14/2018,Historical,Y1997,1064791,161370,758320,359553,210376,160849,27541,145102
Health Consumption Expenditures,02/14/2018,Historical,Y1998,1126317,176812,792102,384738,209420,169011,28933,157403
Health Consumption Expenditures,02/14/2018,Historical,Y1999,1196936,187575,845592,417078,213173,183455,31886,163769
Health Consumption Expenditures,02/14/2018,Historical,Y2000,1285810,198886,918957,457978,224829,200345,35804,167968
Health Consumption Expenditures,02/14/2018,Historical,Y2001,1398783,206200,1014390,501939,247686,224092,40673,178192
Health Consumption Expenditures,02/14/2018,Historical,Y2002,1531855,219273,1121517,560963,265381,248050,47123,191066
Health Consumption Expenditures,02/14/2018,Historical,Y2003,1663848,235635,1221745,615138,282668,268903,55037,206467
Health Consumption Expenditures,02/14/2018,Historical,Y2004,1784348,248494,1320086,658268,311122,290679,60016,215768
Health Consumption Expenditures,02/14/2018,Historical,Y2005,1904019,263815,1414078,701176,339762,309275,63865,226127
Health Consumption Expenditures,02/14/2018,Historical,Y2006,2031001,273254,1517387,737122,403690,306584,69991,240360
Health Consumption Expenditures,02/14/2018,Historical,Y2007,2156912,290000,1609250,776176,432751,325746,74577,257662
Health Consumption Expenditures,02/14/2018,Historical,Y2008,2251114,295184,1695968,802857,466971,344214,81927,259963
Health Consumption Expenditures,02/14/2018,Historical,Y2009,2356450,293723,1796424,832906,498859,374421,90238,266303
Health Consumption Expenditures,02/14/2018,Historical,Y2010,2456085,299742,1876922,864344,519787,397226,95565,279421
Health Consumption Expenditures,02/14/2018,Historical,Y2011,2539878,309973,1950187,898631,544679,406744,100133,279718
Health Consumption Expenditures,02/14/2018,Historical,Y2012,2644030,318330,2022904,928211,569634,422688,102371,302796
Health Consumption Expenditures,02/14/2018,Historical,Y2013,2725865,325189,2087804,946398,590163,445361,105883,312871
Health Consumption Expenditures,02/14/2018,Historical,Y2014,2876445,330068,2228136,999940,618889,496645,112662,318241
Health Consumption Expenditures,02/14/2018,Historical,Y2015,3047118,339315,2382770,1068778,648808,544073,121111,325033
Health Consumption Expenditures,02/14/2018,Historical,Y2016,3179830,352537,2486842,1123372,672093,565550,125828,340450
Health Consumption Expenditures,02/14/2018,Projected,Y2017," 3,325,368 ",365316,2607270,1186617,705800,582044,132810,352782
Health Consumption Expenditures,02/14/2018,Projected,Y2018,3504251,379763,2755249,1244085,748068,621999,141097,369238
Health Consumption Expenditures,02/14/2018,Projected,Y2019,3687794,398250,2898937,1285978,807601,656290,149069,390606
Health Consumption Expenditures,02/14/2018,Projected,Y2020,3901690,417257,3075608,1348801,873095,696421,157291,408824
Health Consumption Expenditures,02/14/2018,Projected,Y2021,4122577,436674,3258265,1410940,942552,738380,166393,427638
Health Consumption Expenditures,02/14/2018,Projected,Y2022,4351727,459219,3446264,1472930,1015662,782411,175261,446244
Health Consumption Expenditures,02/14/2018,Projected,Y2023,4597226,482005,3649397,1544375,1092539,828299,184184,465824
Health Consumption Expenditures,02/14/2018,Projected,Y2024,4858003,505978,3865952,1619843,1175880,876973,193256,486073
Health Consumption Expenditures,02/14/2018,Projected,Y2025,5124265,530712,4086227,1697666,1253003,932751,202808,507326
Health Consumption Expenditures,02/14/2018,Projected,Y2026,5437079,555336,4351928,1775954,1366042,996175,213757,529815
Personal Health Care,02/14/2018,Historical,Y1960,23263,12949,6634,4960,0,0,1674,3680
Personal Health Care,02/14/2018,Historical,Y1961,24755,13357,7293,5537,0,0,1756,4105
Personal Health Care,02/14/2018,Historical,Y1962,26665,14255,7967,6158,0,0,1809,4442
Personal Health Care,02/14/2018,Historical,Y1963,29076,15311,8828,6901,0,0,1927,4937
Personal Health Care,02/14/2018,Historical,Y1964,32039,16928,9806,7901,0,0,1906,5305
Personal Health Care,02/14/2018,Historical,Y1965,34720,18209,10655,8717,0,0,1937,5857
Personal Health Care,02/14/2018,Historical,Y1966,38426,18594,14046,8854,1722,1252,2218,5786
Personal Health Care,02/14/2018,Historical,Y1967,43500,18537,19388,9063,4731,3019,2575,5576
Personal Health Care,02/14/2018,Historical,Y1968,49128,20500,22277,10194,5931,3385,2768,6351
Personal Health Care,02/14/2018,Historical,Y1969,55510,22601,25683,12008,6735,3984,2957,7227
Personal Health Care,02/14/2018,Historical,Y1970,63059,24953,29650,14065,7276,5039,3270,8455
Personal Health Care,02/14/2018,Historical,Y1971,69437,26312,33986,15828,8036,6411,3711,9140
Personal Health Care,02/14/2018,Historical,Y1972,77162,28646,38795,17727,8851,7973,4244,9721
Personal Health Care,02/14/2018,Historical,Y1973,86152,31625,43827,19804,10182,9013,4829,10700
Personal Health Care,02/14/2018,Historical,Y1974,98784,34373,52109,23455,12748,10590,5316,12302
Personal Health Care,02/14/2018,Historical,Y1975,113217,37262,62097,27740,15610,12839,5907,13858
Personal Health Care,02/14/2018,Historical,Y1976,129312,40647,73055,33120,18815,14429,6691,15610
Personal Health Care,02/14/2018,Historical,Y1977,146674,44853,84590,38936,22136,16520,6998,17230
Personal Health Care,02/14/2018,Historical,Y1978,164236,48016,96526,44606,25666,18406,7848,19694
Personal Health Care,02/14/2018,Historical,Y1979,187128,52312,112238,52756,29900,21134,8449,22578
Personal Health Care,02/14/2018,Historical,Y1980,216977,58146,132100,61541,36260,24697,9602,26730
Personal Health Care,02/14/2018,Historical,Y1981,251789,65355,155573,72565,43457,28795,10756,30861
Personal Health Care,02/14/2018,Historical,Y1982,283073,72450,176377,82944,51060,30418,11955,34247
Personal Health Care,02/14/2018,Historical,Y1983,311677,78619,196099,91841,58116,33486,12656,36959
Personal Health Care,02/14/2018,Historical,Y1984,341645,86500,215287,100727,64599,36181,13780,39858
Personal Health Care,02/14/2018,Historical,Y1985,376376,95640,235725,112102,69795,38761,15067,45011
Personal Health Care,02/14/2018,Historical,Y1986,408840,103610,253956,119895,74769,43019,16274,51274
Personal Health Care,02/14/2018,Historical,Y1987,447696,109652,281361,135398,80951,47719,17292,56684
Personal Health Care,02/14/2018,Historical,Y1988,498497,120217,314143,157314,86404,52173,18252,64137
Personal Health Care,02/14/2018,Historical,Y1989,550414,126651,355504,179344,98277,58651,19232,68259
Personal Health Care,02/14/2018,Historical,Y1990,615326,137882,402936,204788,107266,69693,21188,74508
Personal Health Care,02/14/2018,Historical,Y1991,675896,140815,455028,225629,117273,88921,23205,80052
Personal Health Care,02/14/2018,Historical,Y1992,731455,143178,503335,243563,132368,103417,23987,84941
Personal Health Care,02/14/2018,Historical,Y1993,778684,144098,545446,257360,146235,116453,25398,89140
Personal Health Care,02/14/2018,Historical,Y1994,820171,142035,586201,269744,163430,126856,26170,91936
Personal Health Care,02/14/2018,Historical,Y1995,869575,144816,629439,286724,179858,136250,26607,95320
Personal Health Care,02/14/2018,Historical,Y1996,917535,150354,668165,302842,193573,144510,27239,99017
Personal Health Care,02/14/2018,Historical,Y1997,969240,161370,702806,320011,204204,151352,27239,105064
Personal Health Care,02/14/2018,Historical,Y1998,1025628,176812,733835,344423,202559,158316,28537,114981
Personal Health Care,02/14/2018,Historical,Y1999,1085733,187575,779771,371201,206035,171281,31255,118387
Personal Health Care,02/14/2018,Historical,Y2000,1161521,198886,843763,405631,216333,186943,34856,118872
Personal Health Care,02/14/2018,Historical,Y2001,1261400,206200,931739,444825,239111,208435,39367,123461
Personal Health Care,02/14/2018,Historical,Y2002,1367124,219273,1019543,487681,256551,230096,45216,128308
Personal Health Care,02/14/2018,Historical,Y2003,1477193,235635,1102797,526665,274001,249447,52685,138760
Personal Health Care,02/14/2018,Historical,Y2004,1587482,248494,1192613,564583,300096,270746,57188,146376
Personal Health Care,02/14/2018,Historical,Y2005,1695727,263815,1278766,604392,326278,287581,60515,153147
Personal Health Care,02/14/2018,Historical,Y2006,1804285,273254,1367713,635853,382297,283315,66249,163317
Personal Health Care,02/14/2018,Historical,Y2007,1918436,290000,1451726,671404,408710,301109,70504,176709
Personal Health Care,02/14/2018,Historical,Y2008,2010660,295184,1538416,700841,442014,317838,77723,177061
Personal Health Care,02/14/2018,Historical,Y2009,2114571,293723,1636940,734737,470318,346191,85693,183908
Personal Health Care,02/14/2018,Historical,Y2010,2196023,299742,1700975,755888,489070,365751,90266,195305
Personal Health Care,02/14/2018,Historical,Y2011,2273972,309973,1767632,787187,511926,373891,94629,196367
Personal Health Care,02/14/2018,Historical,Y2012,2366946,318330,1835839,815193,534947,388421,97278,212776
Personal Health Care,02/14/2018,Historical,Y2013,2436714,325189,1892711,830607,554864,406410,100830,218814
Personal Health Care,02/14/2018,Historical,Y2014,2560211,330068,2009156,874606,580968,446271,107311,220986
Personal Health Care,02/14/2018,Historical,Y2015,2715542,339315,2151449,943318,607127,485761,115243,224778
Personal Health Care,02/14/2018,Historical,Y2016,2833991,352537,2243869,993767,625279,505223,119601,237584
Personal Health Care,02/14/2018,Projected,Y2017," 2,958,042 ",365316,2344069,1040444,654737,522647,126241,248658
Personal Health Care,02/14/2018,Projected,Y2018,3112700,379763,2471465,1089674,693161,554570,134060,261472
Personal Health Care,02/14/2018,Projected,Y2019,3284039,398250,2606573,1131222,749460,584395,141496,279216
Personal Health Care,02/14/2018,Projected,Y2020,3466282,417257,2755335,1180123,808595,617467,149150,293690
Personal Health Care,02/14/2018,Projected,Y2021,3664061,436674,2918840,1234623,872818,653799,157599,308547
Personal Health Care,02/14/2018,Projected,Y2022,3868854,459219,3086747,1289007,940123,691850,165767,322888
Personal Health Care,02/14/2018,Projected,Y2023,4087725,482005,3267654,1351469,1010816,731432,173937,338065
Personal Health Care,02/14/2018,Projected,Y2024,4320191,505978,3460442,1417419,1087426,773410,182188,353771
Personal Health Care,02/14/2018,Projected,Y2025,4557076,530712,3656240,1485355,1158179,821858,190848,370124
Personal Health Care,02/14/2018,Projected,Y2026,4836300,555336,3894160,1553673,1262288,877371,200828,386804
Hospital Expenditures,02/14/2018,Historical,Y1960,8985,1852,4559,3195,0,0,1364,2574
Hospital Expenditures,02/14/2018,Historical,Y1961,9777,1895,5075,3664,0,0,1412,2807
Hospital Expenditures,02/14/2018,Historical,Y1962,10432,1950,5515,4102,0,0,1412,2967
Hospital Expenditures,02/14/2018,Historical,Y1963,11507,2206,6012,4540,0,0,1473,3290
Hospital Expenditures,02/14/2018,Historical,Y1964,12501,2501,6554,5077,0,0,1477,3445
Hospital Expenditures,02/14/2018,Historical,Y1965,13545,2684,7136,5599,0,0,1537,3725
Hospital Expenditures,02/14/2018,Historical,Y1966,15298,2303,9285,5585,1255,726,1718,3710
Hospital Expenditures,02/14/2018,Historical,Y1967,17798,1809,12451,5607,3225,1624,1995,3538
Hospital Expenditures,02/14/2018,Historical,Y1968,20537,2158,14330,6350,4108,1703,2169,4050
Hospital Expenditures,02/14/2018,Historical,Y1969,23367,2153,16638,7472,4811,2031,2324,4576
Hospital Expenditures,02/14/2018,Historical,Y1970,27168,2448,19422,8818,5359,2647,2599,5299
Hospital Expenditures,02/14/2018,Historical,Y1971,30224,2453,22027,9857,5920,3316,2934,5743
Hospital Expenditures,02/14/2018,Historical,Y1972,33846,2970,24500,10885,6537,3738,3340,6376
Hospital Expenditures,02/14/2018,Historical,Y1973,37920,3591,27396,12021,7537,3990,3847,6934
Hospital Expenditures,02/14/2018,Historical,Y1974,44139,3997,32239,14372,9388,4226,4253,7904
Hospital Expenditures,02/14/2018,Historical,Y1975,51234,4308,38273,17015,11502,5014,4743,8652
Hospital Expenditures,02/14/2018,Historical,Y1976,59402,4523,45206,20158,13902,5766,5380,9674
Hospital Expenditures,02/14/2018,Historical,Y1977,67023,4853,51805,23373,16187,6602,5643,10366
Hospital Expenditures,02/14/2018,Historical,Y1978,75621,5009,59013,26903,18639,7008,6463,11599
Hospital Expenditures,02/14/2018,Historical,Y1979,86162,5187,68005,31636,21647,7774,6948,12970
Hospital Expenditures,02/14/2018,Historical,Y1980,100517,5381,80096,36786,26278,9214,7817,15041
Hospital Expenditures,02/14/2018,Historical,Y1981,117480,6271,93909,42615,31521,11062,8711,17300
Hospital Expenditures,02/14/2018,Historical,Y1982,133647,7210,107385,49297,36662,11782,9644,19052
Hospital Expenditures,02/14/2018,Historical,Y1983,144745,7624,117395,53282,40989,12947,10177,19725
Hospital Expenditures,02/14/2018,Historical,Y1984,154366,8093,126238,55775,45415,13961,11086,20035
Hospital Expenditures,02/14/2018,Historical,Y1985,164575,8769,133956,58671,48644,14624,12017,21850
Hospital Expenditures,02/14/2018,Historical,Y1986,175629,8472,142011,62371,50822,15963,12855,25147
Hospital Expenditures,02/14/2018,Historical,Y1987,189545,8974,153117,68241,53495,17773,13608,27455
Hospital Expenditures,02/14/2018,Historical,Y1988,206455,9777,166299,76106,56337,19712,14144,30379
Hospital Expenditures,02/14/2018,Historical,Y1989,225968,10300,185040,85704,62162,22269,14905,30629
Hospital Expenditures,02/14/2018,Historical,Y1990,250439,11163,206906,96513,67403,26663,16327,32370
Hospital Expenditures,02/14/2018,Historical,Y1991,275768,11870,229771,102106,73322,36545,17798,34128
Hospital Expenditures,02/14/2018,Historical,Y1992,298477,12306,251092,105651,83068,43940,18433,35080
Hospital Expenditures,02/14/2018,Historical,Y1993,315749,12120,267528,107012,91524,49458,19534,36101
Hospital Expenditures,02/14/2018,Historical,Y1994,328366,10653,280485,106951,99879,53671,19984,37228
Hospital Expenditures,02/14/2018,Historical,Y1995,339313,10101,292427,107197,108286,56800,20143,36784
Hospital Expenditures,02/14/2018,Historical,Y1996,350799,10252,302975,109407,114540,58871,20157,37572
Hospital Expenditures,02/14/2018,Historical,Y1997,363404,11016,312603,113787,119392,59614,19811,39784
Hospital Expenditures,02/14/2018,Historical,Y1998,374917,11959,320580,120403,118145,61697,20336,42378
Hospital Expenditures,02/14/2018,Historical,Y1999,393624,12711,337662,128500,121103,66799,21260,43251
Hospital Expenditures,02/14/2018,Historical,Y2000,415531,13443,358207,141046,123371,70928,22862,43881
Hospital Expenditures,02/14/2018,Historical,Y2001,449357,13787,390735,153393,135048,77353,24941,44835
Hospital Expenditures,02/14/2018,Historical,Y2002,486474,15313,424417,169210,143531,84411,27265,46744
Hospital Expenditures,02/14/2018,Historical,Y2003,525895,17020,456742,184313,150885,90254,31290,52134
Hospital Expenditures,02/14/2018,Historical,Y2004,565332,18312,492625,199546,162721,96766,33593,54395
Hospital Expenditures,02/14/2018,Historical,Y2005,608582,19703,531598,215904,176395,103783,35517,57281
Hospital Expenditures,02/14/2018,Historical,Y2006,651219,21089,566897,235582,184675,108835,37805,63232
Hospital Expenditures,02/14/2018,Historical,Y2007,691887,22783,599819,250498,193081,117182,39058,69285
Hospital Expenditures,02/14/2018,Historical,Y2008,725625,23617,636263,264835,205470,122653,43305,65745
Hospital Expenditures,02/14/2018,Historical,Y2009,779600,25674,681599,285602,214430,133428,48139,72326
Hospital Expenditures,02/14/2018,Historical,Y2010,822301,27776,713993,300586,220289,141752,51366,80532
Hospital Expenditures,02/14/2018,Historical,Y2011,851850,29297,740844,316687,226888,143924,53345,81710
Hospital Expenditures,02/14/2018,Historical,Y2012,902539,31841,780165,337793,238194,149841,54337,90533
Hospital Expenditures,02/14/2018,Historical,Y2013,937645,33833,808104,349472,246026,155750,56856,95708
Hospital Expenditures,02/14/2018,Historical,Y2014,978148,32876,849330,366617,252935,169027,60751,95942
Hospital Expenditures,02/14/2018,Historical,Y2015,1033435,31189,907852,400174,259992,183569,64117,94394
Hospital Expenditures,02/14/2018,Historical,Y2016,1082479,32671,951115,426671,267504,189824,67117,98693
Hospital Expenditures,02/14/2018,Projected,Y2017," 1,132,561 ",34237,995664,451083,277550,196205,70826,102660
Hospital Expenditures,02/14/2018,Projected,Y2018,1189911,35884,1046411,472310,291843,206588,75670,107617
Hospital Expenditures,02/14/2018,Projected,Y2019,1256017,37986,1102932,491388,314211,216871,80463,115099
Hospital Expenditures,02/14/2018,Projected,Y2020,1326396,39858,1165941,512932,339642,227964,85403,120597
Hospital Expenditures,02/14/2018,Projected,Y2021,1401708,41623,1234005,535995,367032,240281,90697,126080
Hospital Expenditures,02/14/2018,Projected,Y2022,1478273,43524,1303680,559261,395490,253261,95668,131068
