"category","hist_proj","year","use_cat","fund_type","amount"
"National_Health","Historical",2006,"N","total",2156158
"National_Health","Historical",2007,"N","total",2295307
"National_Health","Historical",2008,"N","total",2399121
"National_Health","Historical",2009,"N","total",2495414
"National_Health","Historical",2010,"N","total",2598823
"National_Health","Historical",2011,"N","total",2689349
"National_Health","Historical",2012,"N","total",2797260
"National_Health","Historical",2013,"N","total",2879008
"National_Health","Historical",2014,"N","total",3026157
"National_Health","Historical",2015,"N","total",3200815
"National_Health","Historical",2016,"N","total",3337248
"National_Health","Projected",2017,"N","total",3489224
"National_Health","Projected",2018,"N","total",3675337
"National_Health","Projected",2019,"N","total",3867560
"National_Health","Projected",2020,"N","total",4090934
"National_Health","Projected",2021,"N","total",4321981
"National_Health","Projected",2022,"N","total",4561812
"National_Health","Projected",2023,"N","total",4818474
"National_Health","Projected",2024,"N","total",5090855
"National_Health","Projected",2025,"N","total",5369758
"National_Health","Projected",2026,"N","total",5696239
"Health_Consumption","Historical",1960,"N","total",24706
"Health_Consumption","Historical",1961,"N","total",26332
"Health_Consumption","Historical",1962,"N","total",28414
"Health_Consumption","Historical",1963,"N","total",30918
"Health_Consumption","Historical",1964,"N","total",34130
"Health_Consumption","Historical",1965,"N","total",37186
"Health_Consumption","Historical",1966,"N","total",41227
"Health_Consumption","Historical",1967,"N","total",46502
"Health_Consumption","Historical",1968,"N","total",52689
"Health_Consumption","Historical",1969,"N","total",59097
"Health_Consumption","Historical",1970,"N","total",67046
"Health_Consumption","Historical",1971,"N","total",74339
"Health_Consumption","Historical",1972,"N","total",83350
"Health_Consumption","Historical",1973,"N","total",93092
"Health_Consumption","Historical",1974,"N","total",105884
"Health_Consumption","Historical",1975,"N","total",121106
"Health_Consumption","Historical",1976,"N","total",139293
"Health_Consumption","Historical",1977,"N","total",159946
"Health_Consumption","Historical",1978,"N","total",180046
"Health_Consumption","Historical",1979,"N","total",204567
"Health_Consumption","Historical",1980,"N","total",235475
"Health_Consumption","Historical",1981,"N","total",273418
"Health_Consumption","Historical",1982,"N","total",308038
"Health_Consumption","Historical",1983,"N","total",339453
"Health_Consumption","Historical",1984,"N","total",375119
"Health_Consumption","Historical",1985,"N","total",412836
"Health_Consumption","Historical",1986,"N","total",443712
"Health_Consumption","Historical",1987,"N","total",482287
"Health_Consumption","Historical",1988,"N","total",540513
"Health_Consumption","Historical",1989,"N","total",602254
"Health_Consumption","Historical",1990,"N","total",674070
"Health_Consumption","Historical",1991,"N","total",737681
"Health_Consumption","Historical",1992,"N","total",798746
"Health_Consumption","Historical",1993,"N","total",857725
"Health_Consumption","Historical",1994,"N","total",905667
"Health_Consumption","Historical",1995,"N","total",958171
"Health_Consumption","Historical",1996,"N","total",1009589
"Health_Consumption","Historical",1997,"N","total",1064791
"Health_Consumption","Historical",1998,"N","total",1126317
"Health_Consumption","Historical",1999,"N","total",1196936
"Health_Consumption","Historical",2000,"N","total",1285810
"Health_Consumption","Historical",2001,"N","total",1398783
"Health_Consumption","Historical",2002,"N","total",1531855
"Health_Consumption","Historical",2003,"N","total",1663848
"Health_Consumption","Historical",2004,"N","total",1784348
"Health_Consumption","Historical",2005,"N","total",1904019
"Health_Consumption","Historical",2006,"N","total",2031001
"Health_Consumption","Historical",2007,"N","total",2156912
"Health_Consumption","Historical",2008,"N","total",2251114
"Health_Consumption","Historical",2009,"N","total",2356450
"Health_Consumption","Historical",2010,"N","total",2456085
"Health_Consumption","Historical",2011,"N","total",2539878
"Health_Consumption","Historical",2012,"N","total",2644030
"Health_Consumption","Historical",2013,"N","total",2725865
"Health_Consumption","Historical",2014,"N","total",2876445
"Health_Consumption","Historical",2015,"N","total",3047118
"Health_Consumption","Historical",2016,"N","total",3179830
"Health_Consumption","Projected",2017,"N","total",3325368
"Health_Consumption","Projected",2018,"N","total",3504251
"Health_Consumption","Projected",2019,"N","total",3687794
"Health_Consumption","Projected",2020,"N","total",3901690
"Health_Consumption","Projected",2021,"N","total",4122577
"Health_Consumption","Projected",2022,"N","total",4351727
"Health_Consumption","Projected",2023,"N","total",4597226
"Health_Consumption","Projected",2024,"N","total",4858003
"Health_Consumption","Projected",2025,"N","total",5124265
"Health_Consumption","Projected",2026,"N","total",5437079
"Personal_Health_Care","Historical",1960,"Y","total",23263
"Personal_Health_Care","Historical",1961,"Y","total",24755
"Personal_Health_Care","Historical",1962,"Y","total",26665
"Personal_Health_Care","Historical",1963,"Y","total",29076
"Personal_Health_Care","Historical",1964,"Y","total",32039
"Personal_Health_Care","Historical",1965,"Y","total",34720
"Personal_Health_Care","Historical",1966,"Y","total",38426
"Personal_Health_Care","Historical",1967,"Y","total",43500
"Personal_Health_Care","Historical",1968,"Y","total",49128
"Personal_Health_Care","Historical",1969,"Y","total",55510
"Personal_Health_Care","Historical",1970,"Y","total",63059
"Personal_Health_Care","Historical",1971,"Y","total",69437
"Personal_Health_Care","Historical",1972,"Y","total",77162
"Personal_Health_Care","Historical",1973,"Y","total",86152
"Personal_Health_Care","Historical",1974,"Y","total",98784
"Personal_Health_Care","Historical",1975,"Y","total",113217
"Personal_Health_Care","Historical",1976,"Y","total",129312
"Personal_Health_Care","Historical",1977,"Y","total",146674
"Personal_Health_Care","Historical",1978,"Y","total",164236
"Personal_Health_Care","Historical",1979,"Y","total",187128
"Personal_Health_Care","Historical",1980,"Y","total",216977
"Personal_Health_Care","Historical",1981,"Y","total",251789
"Personal_Health_Care","Historical",1982,"Y","total",283073
"Personal_Health_Care","Historical",1983,"Y","total",311677
"Personal_Health_Care","Historical",1984,"Y","total",341645
"Personal_Health_Care","Historical",1985,"Y","total",376376
"Personal_Health_Care","Historical",1986,"Y","total",408840
"Personal_Health_Care","Historical",1987,"Y","total",447696
"Personal_Health_Care","Historical",1988,"Y","total",498497
"Personal_Health_Care","Historical",1989,"Y","total",550414
"Personal_Health_Care","Historical",1990,"Y","total",615326
"Personal_Health_Care","Historical",1991,"Y","total",675896
"Personal_Health_Care","Historical",1992,"Y","total",731455
"Personal_Health_Care","Historical",1993,"Y","total",778684
"Personal_Health_Care","Historical",1994,"Y","total",820171
"Personal_Health_Care","Historical",1995,"Y","total",869575
"Personal_Health_Care","Historical",1996,"Y","total",917535
"Personal_Health_Care","Historical",1997,"Y","total",969240
"Personal_Health_Care","Historical",1998,"Y","total",1025628
"Personal_Health_Care","Historical",1999,"Y","total",1085733
"Personal_Health_Care","Historical",2000,"Y","total",1161521
"Personal_Health_Care","Historical",2001,"Y","total",1261400
"Personal_Health_Care","Historical",2002,"Y","total",1367124
"Personal_Health_Care","Historical",2003,"Y","total",1477193
"Personal_Health_Care","Historical",2004,"Y","total",1587482
"Personal_Health_Care","Historical",2005,"Y","total",1695727
"Personal_Health_Care","Historical",2006,"Y","total",1804285
"Personal_Health_Care","Historical",2007,"Y","total",1918436
"Personal_Health_Care","Historical",2008,"Y","total",2010660
"Personal_Health_Care","Historical",2009,"Y","total",2114571
"Personal_Health_Care","Historical",2010,"Y","total",2196023
"Personal_Health_Care","Historical",2011,"Y","total",2273972
"Personal_Health_Care","Historical",2012,"Y","total",2366946
"Personal_Health_Care","Historical",2013,"Y","total",2436714
"Personal_Health_Care","Historical",2014,"Y","total",2560211
"Personal_Health_Care","Historical",2015,"Y","total",2715542
"Personal_Health_Care","Historical",2016,"Y","total",2833991
"Personal_Health_Care","Projected",2017,"Y","total",2958042
"Personal_Health_Care","Projected",2018,"Y","total",3112700
"Personal_Health_Care","Projected",2019,"Y","total",3284039
"Personal_Health_Care","Projected",2020,"Y","total",3466282
"Personal_Health_Care","Projected",2021,"Y","total",3664061
"Personal_Health_Care","Projected",2022,"Y","total",3868854
"Personal_Health_Care","Projected",2023,"Y","total",4087725
"Personal_Health_Care","Projected",2024,"Y","total",4320191
"Personal_Health_Care","Projected",2025,"Y","total",4557076
"Personal_Health_Care","Projected",2026,"Y","total",4836300
"Hospital_Care","Historical",1960,"Y","total",8985
"Hospital_Care","Historical",1961,"Y","total",9777
"Hospital_Care","Historical",1962,"Y","total",10432
"Hospital_Care","Historical",1963,"Y","total",11507
"Hospital_Care","Historical",1964,"Y","total",12501
"Hospital_Care","Historical",1965,"Y","total",13545
"Hospital_Care","Historical",1966,"Y","total",15298
"Hospital_Care","Historical",1967,"Y","total",17798
"Hospital_Care","Historical",1968,"Y","total",20537
"Hospital_Care","Historical",1969,"Y","total",23367
"Hospital_Care","Historical",1970,"Y","total",27168
"Hospital_Care","Historical",1971,"Y","total",30224
"Hospital_Care","Historical",1972,"Y","total",33846
"Hospital_Care","Historical",1973,"Y","total",37920
"Hospital_Care","Historical",1974,"Y","total",44139
"Hospital_Care","Historical",1975,"Y","total",51234
"Hospital_Care","Historical",1976,"Y","total",59402
"Hospital_Care","Historical",1977,"Y","total",67023
"Hospital_Care","Historical",1978,"Y","total",75621
"Hospital_Care","Historical",1979,"Y","total",86162
"Hospital_Care","Historical",1980,"Y","total",100517
"Hospital_Care","Historical",1981,"Y","total",117480
"Hospital_Care","Historical",1982,"Y","total",133647
"Hospital_Care","Historical",1983,"Y","total",144745
"Hospital_Care","Historical",1984,"Y","total",154366
"Hospital_Care","Historical",1985,"Y","total",164575
"Hospital_Care","Historical",1986,"Y","total",175629
"Hospital_Care","Historical",1987,"Y","total",189545
"Hospital_Care","Historical",1988,"Y","total",206455
"Hospital_Care","Historical",1989,"Y","total",225968
"Hospital_Care","Historical",1990,"Y","total",250439
"Hospital_Care","Historical",1991,"Y","total",275768
"Hospital_Care","Historical",1992,"Y","total",298477
"Hospital_Care","Historical",1993,"Y","total",315749
"Hospital_Care","Historical",1994,"Y","total",328366
"Hospital_Care","Historical",1995,"Y","total",339313
"Hospital_Care","Historical",1996,"Y","total",350799
"Hospital_Care","Historical",1997,"Y","total",363404
"Hospital_Care","Historical",1998,"Y","total",374917
"Hospital_Care","Historical",1999,"Y","total",393624
"Hospital_Care","Historical",2000,"Y","total",415531
"Hospital_Care","Historical",2001,"Y","total",449357
"Hospital_Care","Historical",2002,"Y","total",486474
"Hospital_Care","Historical",2003,"Y","total",525895
"Hospital_Care","Historical",2004,"Y","total",565332
"Hospital_Care","Historical",2005,"Y","total",608582
"Hospital_Care","Historical",2006,"Y","total",651219
"Hospital_Care","Historical",2007,"Y","total",691887
"Hospital_Care","Historical",2008,"Y","total",725625
"Hospital_Care","Historical",2009,"Y","total",779600
"Hospital_Care","Historical",2010,"Y","total",822301
"Hospital_Care","Historical",2011,"Y","total",851850
"Hospital_Care","Historical",2012,"Y","total",902539
"Hospital_Care","Historical",2013,"Y","total",937645
"Hospital_Care","Historical",2014,"Y","total",978148
"Hospital_Care","Historical",2015,"Y","total",1033435
"Hospital_Care","Historical",2016,"Y","total",1082479
"Hospital_Care","Projected",2017,"Y","total",1132561
"Hospital_Care","Projected",2018,"Y","total",1189911
"Hospital_Care","Projected",2019,"Y","total",1256017
"Hospital_Care","Projected",2020,"Y","total",1326396
"Hospital_Care","Projected",2021,"Y","total",1401708
"Hospital_Care","Projected",2022,"Y","total",1478273
"Hospital_Care","Projected",2023,"Y","total",1559809
"Hospital_Care","Projected",2024,"Y","total",1645323
"Hospital_Care","Projected",2025,"Y","total",1735463
"Hospital_Care","Projected",2026,"Y","total",1848155
"Physician_and_Clinical","Historical",1960,"Y","total",5551
"Physician_and_Clinical","Historical",1961,"Y","total",5814
"Physician_and_Clinical","Historical",1962,"Y","total",6261
"Physician_and_Clinical","Historical",1963,"Y","total",7074
"Physician_and_Clinical","Historical",1964,"Y","total",8109
"Physician_and_Clinical","Historical",1965,"Y","total",8587
"Physician_and_Clinical","Historical",1966,"Y","total",9309
"Physician_and_Clinical","Historical",1967,"Y","total",10448
"Physician_and_Clinical","Historical",1968,"Y","total",11344
"Physician_and_Clinical","Historical",1969,"Y","total",12716
"Physician_and_Clinical","Historical",1970,"Y","total",14331
"Physician_and_Clinical","Historical",1971,"Y","total",15917
"Physician_and_Clinical","Historical",1972,"Y","total",17706
"Physician_and_Clinical","Historical",1973,"Y","total",19559
"Physician_and_Clinical","Historical",1974,"Y","total",22215
"Physician_and_Clinical","Historical",1975,"Y","total",25309
"Physician_and_Clinical","Historical",1976,"Y","total",28672
"Physician_and_Clinical","Historical",1977,"Y","total",33112
"Physician_and_Clinical","Historical",1978,"Y","total",35833
"Physician_and_Clinical","Historical",1979,"Y","total",41192
"Physician_and_Clinical","Historical",1980,"Y","total",47717
"Physician_and_Clinical","Historical",1981,"Y","total",55619
"Physician_and_Clinical","Historical",1982,"Y","total",61635
"Physician_and_Clinical","Historical",1983,"Y","total",68643
"Physician_and_Clinical","Historical",1984,"Y","total",77413
"Physician_and_Clinical","Historical",1985,"Y","total",90856
"Physician_and_Clinical","Historical",1986,"Y","total",100667
"Physician_and_Clinical","Historical",1987,"Y","total",112800
"Physician_and_Clinical","Historical",1988,"Y","total",128416
"Physician_and_Clinical","Historical",1989,"Y","total",142937
"Physician_and_Clinical","Historical",1990,"Y","total",158392
"Physician_and_Clinical","Historical",1991,"Y","total",175750
"Physician_and_Clinical","Historical",1992,"Y","total",190156
"Physician_and_Clinical","Historical",1993,"Y","total",201417
"Physician_and_Clinical","Historical",1994,"Y","total",210478
"Physician_and_Clinical","Historical",1995,"Y","total",220300
"Physician_and_Clinical","Historical",1996,"Y","total",228418
"Physician_and_Clinical","Historical",1997,"Y","total",238853
"Physician_and_Clinical","Historical",1998,"Y","total",256454
"Physician_and_Clinical","Historical",1999,"Y","total",269487
"Physician_and_Clinical","Historical",2000,"Y","total",288164
"Physician_and_Clinical","Historical",2001,"Y","total",312670
"Physician_and_Clinical","Historical",2002,"Y","total",337663
"Physician_and_Clinical","Historical",2003,"Y","total",364296
"Physician_and_Clinical","Historical",2004,"Y","total",389392
"Physician_and_Clinical","Historical",2005,"Y","total",413003
"Physician_and_Clinical","Historical",2006,"Y","total",434722
"Physician_and_Clinical","Historical",2007,"Y","total",457512
"Physician_and_Clinical","Historical",2008,"Y","total",481878
"Physician_and_Clinical","Historical",2009,"Y","total",497679
"Physician_and_Clinical","Historical",2010,"Y","total",512573
"Physician_and_Clinical","Historical",2011,"Y","total",535861
"Physician_and_Clinical","Historical",2012,"Y","total",557115
"Physician_and_Clinical","Historical",2013,"Y","total",569569
"Physician_and_Clinical","Historical",2014,"Y","total",595718
"Physician_and_Clinical","Historical",2015,"Y","total",631037
"Physician_and_Clinical","Historical",2016,"Y","total",664882
"Physician_and_Clinical","Projected",2017,"Y","total",698294
"Physician_and_Clinical","Projected",2018,"Y","total",733875
"Physician_and_Clinical","Projected",2019,"Y","total",774674
"Physician_and_Clinical","Projected",2020,"Y","total",814215
"Physician_and_Clinical","Projected",2021,"Y","total",857302
"Physician_and_Clinical","Projected",2022,"Y","total",900732
"Physician_and_Clinical","Projected",2023,"Y","total",948205
"Physician_and_Clinical","Projected",2024,"Y","total",999917
"Physician_and_Clinical","Projected",2025,"Y","total",1050917
"Physician_and_Clinical","Projected",2026,"Y","total",1110178
"Dental_Services","Historical",1960,"Y","total",1987
"Dental_Services","Historical",1961,"Y","total",2103
"Dental_Services","Historical",1962,"Y","total",2224
"Dental_Services","Historical",1963,"Y","total",2371
"Dental_Services","Historical",1964,"Y","total",2616
"Dental_Services","Historical",1965,"Y","total",2818
"Dental_Services","Historical",1966,"Y","total",2992
"Dental_Services","Historical",1967,"Y","total",3446
"Dental_Services","Historical",1968,"Y","total",3704
"Dental_Services","Historical",1969,"Y","total",4216
"Dental_Services","Historical",1970,"Y","total",4711
"Dental_Services","Historical",1971,"Y","total",5226
"Dental_Services","Historical",1972,"Y","total",5566
"Dental_Services","Historical",1973,"Y","total",6379
"Dental_Services","Historical",1974,"Y","total",7139
"Dental_Services","Historical",1975,"Y","total",8023
"Dental_Services","Historical",1976,"Y","total",9042
"Dental_Services","Historical",1977,"Y","total",10129
"Dental_Services","Historical",1978,"Y","total",11039
"Dental_Services","Historical",1979,"Y","total",11984
"Dental_Services","Historical",1980,"Y","total",13320
"Dental_Services","Historical",1981,"Y","total",15706
"Dental_Services","Historical",1982,"Y","total",16971
"Dental_Services","Historical",1983,"Y","total",18290
"Dental_Services","Historical",1984,"Y","total",19859
"Dental_Services","Historical",1985,"Y","total",21694
"Dental_Services","Historical",1986,"Y","total",23164
"Dental_Services","Historical",1987,"Y","total",25322
"Dental_Services","Historical",1988,"Y","total",27394
"Dental_Services","Historical",1989,"Y","total",29377
"Dental_Services","Historical",1990,"Y","total",31598
"Dental_Services","Historical",1991,"Y","total",33397
"Dental_Services","Historical",1992,"Y","total",37133
"Dental_Services","Historical",1993,"Y","total",39006
"Dental_Services","Historical",1994,"Y","total",41558
"Dental_Services","Historical",1995,"Y","total",44615
"Dental_Services","Historical",1996,"Y","total",46943
"Dental_Services","Historical",1997,"Y","total",50292
"Dental_Services","Historical",1998,"Y","total",53600
"Dental_Services","Historical",1999,"Y","total",57255
"Dental_Services","Historical",2000,"Y","total",62133
"Dental_Services","Historical",2001,"Y","total",67709
"Dental_Services","Historical",2002,"Y","total",73636
"Dental_Services","Historical",2003,"Y","total",76316
"Dental_Services","Historical",2004,"Y","total",82189
"Dental_Services","Historical",2005,"Y","total",87201
"Dental_Services","Historical",2006,"Y","total",91766
"Dental_Services","Historical",2007,"Y","total",97732
"Dental_Services","Historical",2008,"Y","total",102708
"Dental_Services","Historical",2009,"Y","total",103097
"Dental_Services","Historical",2010,"Y","total",105860
"Dental_Services","Historical",2011,"Y","total",107986
"Dental_Services","Historical",2012,"Y","total",109700
"Dental_Services","Historical",2013,"Y","total",111056
"Dental_Services","Historical",2014,"Y","total",113808
"Dental_Services","Historical",2015,"Y","total",118857
"Dental_Services","Historical",2016,"Y","total",124373
"Dental_Services","Projected",2017,"Y","total",129054
"Dental_Services","Projected",2018,"Y","total",134440
"Dental_Services","Projected",2019,"Y","total",140402
"Dental_Services","Projected",2020,"Y","total",146965
"Dental_Services","Projected",2021,"Y","total",153744
"Dental_Services","Projected",2022,"Y","total",161175
"Dental_Services","Projected",2023,"Y","total",168724
"Dental_Services","Projected",2024,"Y","total",176515
"Dental_Services","Projected",2025,"Y","total",184338
"Dental_Services","Projected",2026,"Y","total",192040
"Other_Professional_Services","Historical",1960,"Y","total",392
"Other_Professional_Services","Historical",1961,"Y","total",409
"Other_Professional_Services","Historical",1962,"Y","total",429
"Other_Professional_Services","Historical",1963,"Y","total",451
"Other_Professional_Services","Historical",1964,"Y","total",486
"Other_Professional_Services","Historical",1965,"Y","total",533
"Other_Professional_Services","Historical",1966,"Y","total",572
"Other_Professional_Services","Historical",1967,"Y","total",608
"Other_Professional_Services","Historical",1968,"Y","total",644
"Other_Professional_Services","Historical",1969,"Y","total",678
"Other_Professional_Services","Historical",1970,"Y","total",726
"Other_Professional_Services","Historical",1971,"Y","total",793
"Other_Professional_Services","Historical",1972,"Y","total",893
"Other_Professional_Services","Historical",1973,"Y","total",1022
"Other_Professional_Services","Historical",1974,"Y","total",1163
"Other_Professional_Services","Historical",1975,"Y","total",1337
"Other_Professional_Services","Historical",1976,"Y","total",1564
"Other_Professional_Services","Historical",1977,"Y","total",2058
"Other_Professional_Services","Historical",1978,"Y","total",2403
"Other_Professional_Services","Historical",1979,"Y","total",2847
"Other_Professional_Services","Historical",1980,"Y","total",3478
"Other_Professional_Services","Historical",1981,"Y","total",4273
"Other_Professional_Services","Historical",1982,"Y","total",4917
"Other_Professional_Services","Historical",1983,"Y","total",5651
"Other_Professional_Services","Historical",1984,"Y","total",7328
"Other_Professional_Services","Historical",1985,"Y","total",8113
"Other_Professional_Services","Historical",1986,"Y","total",9284
"Other_Professional_Services","Historical",1987,"Y","total",11329
"Other_Professional_Services","Historical",1988,"Y","total",13722
"Other_Professional_Services","Historical",1989,"Y","total",14499
"Other_Professional_Services","Historical",1990,"Y","total",17278
"Other_Professional_Services","Historical",1991,"Y","total",18559
"Other_Professional_Services","Historical",1992,"Y","total",20860
"Other_Professional_Services","Historical",1993,"Y","total",22956
"Other_Professional_Services","Historical",1994,"Y","total",23974
"Other_Professional_Services","Historical",1995,"Y","total",26671
"Other_Professional_Services","Historical",1996,"Y","total",28857
"Other_Professional_Services","Historical",1997,"Y","total",31275
"Other_Professional_Services","Historical",1998,"Y","total",33424
"Other_Professional_Services","Historical",1999,"Y","total",34614
"Other_Professional_Services","Historical",2000,"Y","total",36647
"Other_Professional_Services","Historical",2001,"Y","total",40266
"Other_Professional_Services","Historical",2002,"Y","total",43338
"Other_Professional_Services","Historical",2003,"Y","total",46523
"Other_Professional_Services","Historical",2004,"Y","total",50211
"Other_Professional_Services","Historical",2005,"Y","total",52795
"Other_Professional_Services","Historical",2006,"Y","total",55264
"Other_Professional_Services","Historical",2007,"Y","total",60055
"Other_Professional_Services","Historical",2008,"Y","total",64486
"Other_Professional_Services","Historical",2009,"Y","total",67037
"Other_Professional_Services","Historical",2010,"Y","total",69889
"Other_Professional_Services","Historical",2011,"Y","total",72794
"Other_Professional_Services","Historical",2012,"Y","total",76429
"Other_Professional_Services","Historical",2013,"Y","total",78742
"Other_Professional_Services","Historical",2014,"Y","total",82960
"Other_Professional_Services","Historical",2015,"Y","total",87849
"Other_Professional_Services","Historical",2016,"Y","total",91980
"Other_Professional_Services","Projected",2017,"Y","total",96492
"Other_Professional_Services","Projected",2018,"Y","total",101571
"Other_Professional_Services","Projected",2019,"Y","total",107678
"Other_Professional_Services","Projected",2020,"Y","total",113681
"Other_Professional_Services","Projected",2021,"Y","total",119981
"Other_Professional_Services","Projected",2022,"Y","total",126443
"Other_Professional_Services","Projected",2023,"Y","total",133237
"Other_Professional_Services","Projected",2024,"Y","total",140670
"Other_Professional_Services","Projected",2025,"Y","total",147295
"Other_Professional_Services","Projected",2026,"Y","total",155612
"Home_Health_Care","Historical",1960,"Y","total",57
"Home_Health_Care","Historical",1961,"Y","total",61
"Home_Health_Care","Historical",1962,"Y","total",65
"Home_Health_Care","Historical",1963,"Y","total",69
"Home_Health_Care","Historical",1964,"Y","total",75
"Home_Health_Care","Historical",1965,"Y","total",89
"Home_Health_Care","Historical",1966,"Y","total",108
"Home_Health_Care","Historical",1967,"Y","total",164
"Home_Health_Care","Historical",1968,"Y","total",238
"Home_Health_Care","Historical",1969,"Y","total",272
"Home_Health_Care","Historical",1970,"Y","total",220
"Home_Health_Care","Historical",1971,"Y","total",194
"Home_Health_Care","Historical",1972,"Y","total",220
"Home_Health_Care","Historical",1973,"Y","total",276
"Home_Health_Care","Historical",1974,"Y","total",423
"Home_Health_Care","Historical",1975,"Y","total",623
"Home_Health_Care","Historical",1976,"Y","total",896
"Home_Health_Care","Historical",1977,"Y","total",1147
"Home_Health_Care","Historical",1978,"Y","total",1556
"Home_Health_Care","Historical",1979,"Y","total",1899
"Home_Health_Care","Historical",1980,"Y","total",2378
"Home_Health_Care","Historical",1981,"Y","total",2938
"Home_Health_Care","Historical",1982,"Y","total",3482
"Home_Health_Care","Historical",1983,"Y","total",4237
"Home_Health_Care","Historical",1984,"Y","total",5129
"Home_Health_Care","Historical",1985,"Y","total",5633
"Home_Health_Care","Historical",1986,"Y","total",6368
"Home_Health_Care","Historical",1987,"Y","total",6636
"Home_Health_Care","Historical",1988,"Y","total",8406
"Home_Health_Care","Historical",1989,"Y","total",10213
"Home_Health_Care","Historical",1990,"Y","total",12534
"Home_Health_Care","Historical",1991,"Y","total",15135
"Home_Health_Care","Historical",1992,"Y","total",18690
"Home_Health_Care","Historical",1993,"Y","total",22748
"Home_Health_Care","Historical",1994,"Y","total",27307
"Home_Health_Care","Historical",1995,"Y","total",32270
"Home_Health_Care","Historical",1996,"Y","total",35716
"Home_Health_Care","Historical",1997,"Y","total",36885
"Home_Health_Care","Historical",1998,"Y","total",34072
"Home_Health_Care","Historical",1999,"Y","total",32756
"Home_Health_Care","Historical",2000,"Y","total",32294
"Home_Health_Care","Historical",2001,"Y","total",34271
"Home_Health_Care","Historical",2002,"Y","total",36464
"Home_Health_Care","Historical",2003,"Y","total",40179
"Home_Health_Care","Historical",2004,"Y","total",44641
"Home_Health_Care","Historical",2005,"Y","total",49343
"Home_Health_Care","Historical",2006,"Y","total",52052
"Home_Health_Care","Historical",2007,"Y","total",57475
"Home_Health_Care","Historical",2008,"Y","total",62339
"Home_Health_Care","Historical",2009,"Y","total",67705
"Home_Health_Care","Historical",2010,"Y","total",71595
"Home_Health_Care","Historical",2011,"Y","total",74613
"Home_Health_Care","Historical",2012,"Y","total",78085
"Home_Health_Care","Historical",2013,"Y","total",80502
"Home_Health_Care","Historical",2014,"Y","total",83957
"Home_Health_Care","Historical",2015,"Y","total",88816
"Home_Health_Care","Historical",2016,"Y","total",92364
"Home_Health_Care","Projected",2017,"Y","total",97086
"Home_Health_Care","Projected",2018,"Y","total",102817
"Home_Health_Care","Projected",2019,"Y","total",109721
"Home_Health_Care","Projected",2020,"Y","total",117087
"Home_Health_Care","Projected",2021,"Y","total",124982
"Home_Health_Care","Projected",2022,"Y","total",133274
"Home_Health_Care","Projected",2023,"Y","total",142060
"Home_Health_Care","Projected",2024,"Y","total",151325
"Home_Health_Care","Projected",2025,"Y","total",160896
"Home_Health_Care","Projected",2026,"Y","total",172622
"NonDurable_Medical_Products","Historical",1960,"Y","total",1626
"NonDurable_Medical_Products","Historical",1961,"Y","total",1764
"NonDurable_Medical_Products","Historical",1962,"Y","total",1901
"NonDurable_Medical_Products","Historical",1963,"Y","total",1944
"NonDurable_Medical_Products","Historical",1964,"Y","total",2083
"NonDurable_Medical_Products","Historical",1965,"Y","total",2211
"NonDurable_Medical_Products","Historical",1966,"Y","total",2377
"NonDurable_Medical_Products","Historical",1967,"Y","total",2527
"NonDurable_Medical_Products","Historical",1968,"Y","total",2677
"NonDurable_Medical_Products","Historical",1969,"Y","total",2967
"NonDurable_Medical_Products","Historical",1970,"Y","total",3325
